$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Depression$12/23/2018 6:00:43 PM$Reviewer: Oly, 55-64 on Treatment for less than 1 month (Patient) $1$1$1$Day 2 i felt really bad had shortness of breath bad anxiety.  Was afraid to leave my house just couldn't focus on anything. 
164$Condition: Depression$5/28/2009 5:07:31 PM$Reviewer: Terri, 35-44 Female  on Treatment for less than 1 month (Patient) $1$1$4$My depression and anxiety have worsened, now thoughts of suicide.  The mood swings are horrific and out of control.
165$Condition: Depression$5/19/2009 10:17:29 AM$Reviewer: StressedDCE, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $3$4$5$Overall, this medication is good.  My doctor just upped my dosage.  The only side effect not listed for this medication that I have experienced is a change in my monthly cycle.  It went from 28 days to 31 days.  Apparently, this has happened to others as well and is not anything to be concerned about so that is good.  
166$Condition: Depression$5/12/2009 8:35:37 PM$Reviewer: sertraline, 75 or over Female  on Treatment for 1 to 6 months (Patient) $1$1$3$i seem to be lethargic and depressed
167$Condition: Depression$5/1/2009 9:09:28 PM$Reviewer: shane, 35-44 Male  on Treatment for less than 1 month (Patient) $1$2$3$haven't ever used it before
168$Condition: Depression$4/25/2009 9:15:27 PM$Reviewer: Rohan, 25-34 Male  on Treatment for 1 to 6 months (Patient) $5$4$5$I was a train wreck, non stop crying, uncontrolable, wasnt never like this in my life, however, this drug helped, but it takes an extreme amount of time inorder to orgasm, even with masterbation.  I am also experiencing dry mouth/throat and had slight tremor issues when first starting this drug. Right now its been about 3 weeks and I am currently on my increased dosaged of 50mg and am now experiencing easy bruising.  Other then that so far so good with my main issues of uncontrollable crying.
169$Condition: Depression$4/20/2009 11:39:53 PM$Reviewer: 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$3$3$I was a mess crying easily and being so anxious that I would yell at my family all the time. I was not happy. Then I started this medication and in a few weeks I was feeling better. I could laugh at the things that would usually get me to cry or angry. side effects were headaches for the first few weeks, diarreah, sweating, and my labido decreased down hill and fell into the deep end. It takes me a long time to have an orgasm, sometimes none at all. 
170$Condition: Depression$4/20/2009 3:18:06 PM$Reviewer: Steve, 55-64 Male  on Treatment for less than 1 month (Patient) $3$3$4$
171$Condition: Depression$4/11/2009 7:57:31 PM$Reviewer: sue, 55-64 Female  on Treatment for 10 years or more (Patient) $3$3$4$This treatment has worked as far as depression is concerned, however, I do not feel like I have normal feelings on this medication.  I feel very lathargic.
172$Condition: Depression$3/27/2009 2:11:15 AM$Reviewer: Aarius , 55-64 Male  on Treatment for 6 months to less than 1 year (Patient) $4$4$5$Significantly reduced depression.  I no longer weep, for any reason.  This is a part of this mediaction that I do not like.  I don't even weep for joy or happiness, things very important to me.
173$Condition: Depression$3/21/2009 9:56:46 PM$Reviewer: 35-44 Female  on Treatment for less than 1 month (Patient) $3$3$4$I have been taking 50mg Sertraline for 2 1/2 weeks now. I feel somewhat better mentally but have been having weird dreams and difficulty sleeping.  I cannot obtain an orgasm either.  I am going to hang in a little longer to see if the side effects go away
174$Condition: Depression$3/13/2009 8:55:53 PM$Reviewer: fight depression, 35-44 Female  on Treatment for 10 years or more (Patient) $5$5$5$I have been on Zoloft/Serataline for over 10 years. It works for me. I have tried other meds and tried to go off of it but can tell a big difference whenever I have. PLEASE if you are taking this medicine and it is not working or the side effects are too much for you - tell your health care provider. They will work with you to find right med/s for you. You deserve it!
175$Condition: Depression$3/13/2009 3:04:10 PM$Reviewer: 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$5$"For the most part, I like this medication.  The only problems I've come across are things like:
- Decreased sex drive
- Mood swings if I miss a day
- Mood swings if the mg isn't as effective
I noticed changes immediately after I started taking it, and it has helped.  I've decided to keep using it."
176$Condition: Depression$2/18/2009 6:52:11 PM$Reviewer: ccat386, 13-18 Female  on Treatment for 1 to 6 months (Patient) $2$1$4$I have been taking this medication for a little over 3 months. It dosen't seem to have helped me at all. I have lost alot of weight and i get frequent headaches, which never occured before i was on this drug. I am definitly going to change medications and try something else. 
177$Condition: Depression$2/9/2009 3:28:09 AM$Reviewer: sd, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$3$Zoloft has worked wonders for me. I don't have panic attacks anymore and my depression isn't that bad. I tried so many drugs before this one and was very afraid to use this one but it did help a lot and I am glad I am on it. I have been on it for a few years now.  It took about a month for it to work totally on me but I did feel a lot better after two weeks.  The only thing I don't like about this pill is (sertraline HCL tablets by Teva USA)are much larger and uncoated.  I would rather take the brand name instead.  Yes I do get dry mouth and my sex drive did slow down. I also am alittle cranky if I forget to take it. But I can live with this. Before I could barely function. 
178$Condition: Depression$2/5/2009 1:48:18 AM$Reviewer: 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$5$I tried taking myself off of this medication and found that after several weeks of being off of the med my symptoms came back 
179$Condition: Depression$1/24/2009 4:30:08 PM$Reviewer: 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$4$I've been on this for 2 yrs. and it has worked great for my moods,but not so well on my figure. I gained 30lbs. and it killed my libido.I stopped taking them, and lost 7lbs. in the first week. Now I have to decide whether to be fat and happy, or thin and anxious.
180$Condition: Depression$1/17/2009 11:23:32 AM$Reviewer: whoopsi dew, 45-54 Male  on Treatment for 5 to less than 10 years (Patient) $5$3$5$Zoloft works no doubt ,my anxiety and anger are minimized now ;although weight gain is inevatible because of weird cravings and becoming lazy due to metabolism slowdown.
181$Condition: Depression$1/5/2009 12:06:35 AM$Reviewer: giggles, 25-34 Female  on Treatment for 1 to 6 months (Patient) $4$4$4$I have been taking this medication for about 6 weeks now and I feel better than I have in a long time. It takes awhile  before you see the full results but its worth sticking with. Ive been spending more time socializing with friends and family and seeing the brighter side of things. 
182$Condition: Depression$1/2/2009 10:35:34 PM$Reviewer: Michelle, 25-34 Female  on Treatment for 1 to 6 months (Patient) $2$3$5$Med gave me pretty severe headaches.  I became tired easily and usually exercise 5X a week vigorously. I became almost faint when I tried to work out while on the drug.  I also lost 5 pounds in a week (very unusual for me).  My appetite decreased probably from the lask of exercise, but could be the med.  Going to switch to Zoloft.
183$Condition: Depression$12/27/2008 12:08:17 PM$Reviewer: CaribeNH, 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$1$been on zoloft for almost 3 weeks.  I am more depressed than ever and have thought about killing myself.  This medicine is horrible.  I hope I can stay alive.
184$Condition: Depression$12/23/2008 7:04:06 PM$Reviewer: 25-34 Female  on Treatment for less than 1 month (Patient) $4$4$4$"I have been taking the medication for a week and a half now for anxiety and depression. I feel much better than I did 2 weeks ago. I can actually leave my house now! I do have some minor side effects..trouble sleeping, loss of appetite, and diarrea. I am not completely better yet, but I am being told by my doctor it will get better each day. 
I also have great faith in the Lord to help me with my healing!"
185$Condition: Depression$12/7/2008 2:28:20 AM$Reviewer: Chris_head89, 19-24 Male  on Treatment for 1 to 6 months (Patient) $4$4$5$I have no side effects other then night mares. probibly because I take mine at night before bed when my doc told me to take it in the morning.
186$Condition: Depression$12/4/2008 11:24:34 AM$Reviewer: 45-54 Male  on Treatment for less than 1 month (Patient) $5$1$5$"Sertraline Oral Side Effects
drowsiness, diarrhea, or trouble sleeping may occur.
I have these side effects.
"
187$Condition: Depression$12/3/2008 4:04:23 PM$Reviewer: [email protected], 75 or over Female  on Treatment for less than 1 month (Patient) $3$2$3$do not know yet    just received the RX
188$Condition: Depression$11/29/2008 10:16:47 AM$Reviewer: j8xq23, 45-54 Male  on Treatment for 1 to 6 months (Patient) $4$4$4$
189$Condition: Depression$11/26/2008 7:23:17 PM$Reviewer: 55-64 Male  on Treatment for 1 to 6 months (Patient) $4$5$4$It has work wonders for me.
190$Condition: Depression$11/15/2008 5:49:08 PM$Reviewer: 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) $4$2$5$When I was taking a lower dosage, I felt this product was a good match for me.  However, as my dosage has increased, I have gained a lot of weight in a small amount of time.  At first, I thought the weight gain was due to my habits; however, I work out now 2 hours a day and participate in Weight Watchers.  I am still gaining weight!
191$Condition: Depression$10/28/2008 8:44:47 PM$Reviewer: bluehighways, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) $3$2$5$i have been taking sertraline for a number of years but lately is seems that it is becoming less and less effective. i have been having some tough times loss of family, friends, financial and health problems and realizing that time is running short. i am wondering if it is the situation or the medication. i would like to change to something else but have not mentioned to doctor as of yet. trying to gather some info.
192$Condition: Depression$10/27/2008 7:51:03 PM$Reviewer: juzwonderin, 45-54 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$I started taking the generic zoloft, it was a blue pill, now I had to change pharmacies, and they gave a yellow pill, both are the same mg, but I don't seem to get the same effect from the yellow one as the blue. What could be the difference or is just my imagination?
193$Condition: Depression$10/25/2008 7:28:14 PM$Reviewer: sexyncute20, 19-24 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$I take 100mg in the morning only and it has done wonders I was very depressed and not myself... I notice I do get mean at times and then I will cry and feel like I am worthless but not often does that happen. I have so many diagnosis that I am on 4 phsyc. meds including Sertraline. I use to be on 7 meds just for my mental illness! So I really am happy with this medication. 
194$Condition: Depression$10/23/2008 7:55:06 PM$Reviewer: 65-74 on Treatment for 1 to 6 months$1$1$3$not working
195$Condition: Depression$9/25/2008 9:36:33 AM$Reviewer: tiffny.burch78, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$Im feeling numb. Little things dont bother me like they use too.
196$Condition: Depression$9/8/2008 12:48:43 PM$Reviewer: 19-24 Female  on Treatment for 1 to 6 months (Patient) $3$3$5$I've been taking 100mg of Sertraline for 3 and a half months and I feel somewhat better. I can feel the difference and some of the edge comes off but I still at times cannot stop the heart wrenching sobbing and feeling of worthlessness. I don't know if I need a higher dose or if I need something else. 
197$Condition: Depression$8/26/2008 6:08:56 PM$Reviewer: 19-24 Female  on Treatment for 5 to less than 10 years (Patient) $4$3$5$My sex drive is still on off and lately I'm not sure how well it works but that is because of things I'm going through. 
198$Condition: Depression$8/12/2008 8:08:33 AM$Reviewer: Stevespice173, 35-44 Male  on Treatment for 1 to 6 months (Patient) $3$1$5$This drug KILLED my sex drive!   WTF!  I would rather be drepressed!!   :-)   
199$Condition: Depression$7/28/2008 9:45:58 PM$Reviewer: 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$"I am an ""anti-pill"" person, but after my mom died in 2002, my family doctor prescribed it. In about 2 weeks I felt like the fog had been lifted. I was on it for about 6 months in 2002-03 (quit cold turkey), and went on it again in November 2007 after a particularly rough few months. I am weaning off it now. The only side effect I noted was a loss of libido, and I am less of a ""copntrol freak"" - to my employees' and son's delight! Alos was prescribed Atavan this time for anxiety, but do NOT advise taking both at the same time - very, very depressed - borderline suicidal. Was able to realize the problem and went off Atavan asap."
200$Condition: Depression$7/28/2008 11:09:44 AM$Reviewer: chey50, 55-64 Female  on Treatment for 1 to 6 months (Patient) $3$3$5$I still have some depression but hoping in time that will disappear also
201$Condition: Depression$7/21/2008 12:40:24 PM$Reviewer: 19-24 Female  on Treatment for 6 months to less than 1 year$3$4$5$I originally started taking this for the anxiety part of my depression.  Worked great, and greatly eased my symptoms.  However, my sex drive went to a stand-still.  That was the only side-effect that I got from the drug. I am no longer on it, and it was an easy drug to wean off of.
202$Condition: Depression$7/20/2008 2:55:50 PM$Reviewer: dadgreen57, 55-64 Male  on Treatment for less than 1 month (Patient) $4$4$4$VA doctor's prescribed this for me, 2 wks ago, and took me off prozac...I feel sooooomuch better...less suicidal thoughts, better mood and easier for my wife to live with me.
203$Condition: Depression$6/27/2008 12:57:08 PM$Reviewer: 35-44 on Treatment for 6 months to less than 1 year (Patient) $4$5$4$This treatment has been a positive experience for me. I have used other medications for depression and everyone of them made my symptoms worse than they were to begin with, I am been on this for over 6 months and it sits well on the stomach, aids in getting to and staying asleep. Did not affect my appetite or weight. Only one problem and that would be the lack of interest in a sex life. But then again I did not have much interest during my severe depression, I am sure that will come back later on.
204$Condition: Depression$6/25/2008 3:29:23 PM$Reviewer: 19-24 Female  on Treatment for 1 to 6 months (Patient) $3$4$5$I have noticed a difference in sadness and irritability, but also a PROFOUND lack of interest in sex. Coming from someone who was generally a 6x a week person now I have desire for only once or twice a week. Not a huge problem for me.. but my boyfriend is a little annoyed. 
205$Condition: Depression$6/9/2008 8:54:28 PM$Reviewer: 25-34 Female  on Treatment for 1 to 6 months (Patient) $3$3$5$It seemed to work, but I also occasionaly had thoughts of suicide. I would never do it, but it ocaasionally crossed my mind in my thoughts.  I don't know if this was from the drug itself or because I was in a deep depression from my current divorce.  It's hard to say.
206$Condition: Depression$6/4/2008 8:56:58 AM$Reviewer: 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $5$4$5$"I've been on this medication for about a year. My moods have mellowed, which has been GREAT. Prior to using the medication, I would get depressed for weeks/months and couldn't deal stress but now I don't have the extreme lows (highs & lows). It keeps me on an even keel. 

I also had a bit of anxiety going into public places where there were large groups like bars or parties. Now, I don't feel so fearful. The difference is I may not like to go BUT I GO, rather than sit home.  

I recommend it for all to try. ONLY side effect I noticed was 20 lb weight gain & not being able to lose it even when I am eating right and going to the gym.
"
207$Condition: Depression$5/30/2008 5:29:47 PM$Reviewer: haraszeravla, 25-34 Female  on Treatment for 1 to 6 months (Patient) $5$3$5$I started on 50 mg and that didn't seem to be quite enough--I am switching from the generic form of Celexa because there has been more testing done with Zoloft and it's generic form Sertraline during pregnancy; my husband and I are trying to start a family. My doctor raised the dosage to 100 mg and that has been very good with the depression symptoms but now I've had terrible diarrhea for the last 2 weeks. The doctor told me to decrease the dosage again to 50 mg but I'm afraid that the depression symptoms will come back. Does anyone have advice for dealing with the diarrhea? Does it go away?
208$Condition: Depression$4/30/2008 3:56:45 AM$Reviewer: 13-18 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$"I have been taking this medicine for four months now. I am taking it to treat my depression and panic attacks, which I started having when  was 13 years old, after trying to cope with my anxiety with ""mind over matter"" after 6 years I was tried. I began this medicine after horrible depression that lasted longer than normal. Being 18 and on anti- depressants was a little frightening at first, but I am extremely happy with my decision to get on them. I'm actually kinda of disappointed I didn't start them sooner. I have a few side effects: nausea, and loss of appetite, but totally worth it! I recommend this for anyone who is qualified and sick of constantly struggling to cope with the disorders. I hope it works for you as well as it did for me!!!!"
209$Condition: Depression$3/9/2008 7:14:07 AM$Reviewer: 25-34 Male  on Treatment for 6 months to less than 1 year (Patient) $1$1$5$not working .
210$Condition: Depression$2/23/2008 10:42:24 AM$Reviewer: girlfreind, 25-34 Female  on Treatment for less than 1 month (Patient) $5$5$5$I feel like my old self again. It's only  been a month and I feel in control again. It's a life saver for me and my family. I can now cope with things normally and not hide away and worry obsessivly. It's amazing. I realize it's not for everyone, but I recommend to at least try it. The first week was tough, diahreah, jittery, anxious, but it got better and better everyday. Worth it!
211$Condition: Depression$2/22/2008 11:42:30 PM$Reviewer: 19-24 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$I have been taking this medication for just over a month and have recently doubled my dose to 100mg daily b/c it wasn't previously helping. Starting the medication gave me hope, and continuing it helped me feel better more often and for longer periods of time. It hasn't, however, helped much with my obsessive-compulsive tendencies, but I will stay on it to see if it will soon help; either way, I am glad I am getting treatment and meds to help. 
212$Condition: Depression$2/18/2008 11:42:58 AM$Reviewer: 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$Began taking for post partum depression. I actually feel like myself again! This has been wonderful. I no longer snap at the smallest mishap or have panic attacks in an overcrowded store. I did experience a small weight gain but like anything else with the proper diet and exercise it is manageable. 
213$Condition: Depression$2/4/2008 12:54:47 AM$Reviewer: 25-34 Female  on Treatment for 10 years or more (Patient) $5$5$5$I have been on this drug for 11 years. I went off of it a few years back and thought of killing myself and children. i have been back on the drug for about year and half. I don't know how I could ever get off it. I now will take it everyday. I can not function with out it. My life has changed since I went back on it. My kids see a difference too. I have more to live for. And if that means that I have to take it forever then thats what it means. I can now go through the whole day with out crying over something on tv. or getting upset over the littlest things. I love the way that it makes me feel. I had a problem with an upset stomach too, but i learned to eat somthing before I took the drug. 
214$Condition: Depression$2/2/2008 7:57:43 PM$Reviewer: 58twister, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $3$3$5$ Feel better just slowly keep gaining weight which is not OK.
215$Condition: Depression$12/31/2007 6:42:00 PM$Reviewer: Chestnut53545, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $3$3$5$Worked well initially when I started taking it about 4 yrs ago. Kept me from suicide. Both my parents died last year, and again, I don't think I could have made it without the med plus supportive friends. But for the past 6-8 months I don't think it's working as well. I'm on 150mg, which I think is pretty high already.
216$Condition: Depression$12/31/2007 2:58:31 AM$Reviewer: [email protected], 65-74 Male  on Treatment for 10 years or more (Patient) $4$4$4$Perscribed for depression associated with a closed head injury. Ithas been effective. Could I raise the dose to 2 100mg daily, rather than one 
217$Condition: Depression$12/10/2007 10:34:34 PM$Reviewer: 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I began taking this when I suffered from post-partum depression and anxiety when my baby was 4 weeks old.  She is now 4 years old.  I stopped taking it for about one year, then had a bout of terrible anxiety that brought on depression.  So I have now decided that this is just part of my life.  I take only 50mg and it does the trick.
218$Condition: Depression$11/9/2007 8:03:05 AM$Reviewer: sleepless in NH, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$I was on this drug for quite some time , then I gained weight and switched to cymboltawhich helped with pain as well as depression until one day it just stopped working , I am now back on the sertraline, it is working quite well
219$Condition: Depression$11/4/2007 4:05:17 PM$Reviewer: touchofblue, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $5$4$5$I'm actually taking sertraline for 3 reasons:  depression, social anxiety disorder, and obsessive-compulsive disorder.  It's helped...but believe your doctor when s/he says it may cause ED.
220$Condition: Depression$9/27/2007 10:58:57 PM$Reviewer: $5$4$5$if it works for a family member, it's likely to work for you! :)
221$Condition: Depression$10/18/2007 8:50:43 AM$Reviewer: sixpack, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) $1$1$5$so far it has not help...
222$Condition: Depression$10/10/2007 12:43:28 PM$Reviewer: 13-18 Female  on Treatment for 1 to less than 2 years (Patient) $5$1$5$Althought I was pleased with the effectiveness and ease of use, after discontinuing the drug after 2 years, there have been some problems. I have been experiencing panic attacks, and the feeling of an electrical charge underneath my skin/the feeling of bugs underneath my skin. I'm not sure what to do from here.
